PID 17 is forked from PID 12
PID 16 is forked from PID 12
PID 15 is forked from PID 12
PID 14 is forked from PID 12
PID 13 is forked from PID 12
Parent PID 12
Child PIDs 13 14 15 16 17


Jiffies 6356, PID 17, -> Ready (Preempted)
Jiffies 6356, PID 16, -> Running
Jiffies 6371, PID 16, -> Ready (Preempted)
Jiffies 6371, PID 15, -> Running
Jiffies 6386, PID 15, -> Ready (Preempted)
Jiffies 6386, PID 17, -> Running
Jiffies 6401, PID 17, -> Ready (Preempted)
Jiffies 6401, PID 16, -> Running
Jiffies 6416, PID 13, -> Ready (Signal)
Jiffies 6416, PID 16, -> Ready (Preempted)
Jiffies 6416, PID 13, -> Running
Jiffies 6416, PID 15, -> Running
Jiffies 6431, PID 15, -> Ready (Preempted)
Jiffies 6431, PID 17, -> Running
Jiffies 6446, PID 14, -> Ready (Signal)
Jiffies 6446, PID 17, -> Ready (Preempted)
Jiffies 6446, PID 14, -> Running
Jiffies 6446, PID 16, -> Running
Jiffies 6461, PID 16, -> Ready (Preempted)
Jiffies 6461, PID 15, -> Running
Jiffies 6476, PID 15, -> Ready (Preempted)
Jiffies 6476, PID 17, -> Running
Jiffies 6491, PID 17, -> Ready (Preempted)
Jiffies 6491, PID 16, -> Running
Jiffies 6506, PID 16, -> Ready (Preempted)
Jiffies 6506, PID 15, -> Running
Jiffies 6521, PID 13, -> Ready (Signal)
Jiffies 6521, PID 15, -> Ready (Preempted)
Jiffies 6521, PID 13, -> Running
Jiffies 6521, PID 17, -> Running
Jiffies 6536, PID 17, -> Ready (Preempted)
Jiffies 6536, PID 16, -> Running
Jiffies 6551, PID 14, -> Ready (Signal)
Jiffies 6551, PID 16, -> Ready (Preempted)
Jiffies 6551, PID 14, -> Running
Jiffies 6551, PID 15, -> Running
Jiffies 6566, PID 15, -> Ready (Preempted)
Jiffies 6566, PID 17, -> Running
Jiffies 6581, PID 17, -> Ready (Preempted)
Jiffies 6581, PID 16, -> Running
Jiffies 6596, PID 16, -> Ready (Preempted)
