Parent PID 12
Child PIDs 13 14 15 16 17

Jiffies 5167, PID 15, -> Ready (Preempted)
Jiffies 5167, PID 14, -> Running
Jiffies 5172, PID 14, -> Ready (Preempted)
Jiffies 5172, PID 13, -> Running
Jiffies 5177, PID 13, -> Ready (Preempted)
Jiffies 5177, PID 17, -> Running
Jiffies 5182, PID 17, -> Ready (Preempted)
Jiffies 5182, PID 16, -> Running
Jiffies 5187, PID 16, -> Ready (Preempted)
Jiffies 5187, PID 15, -> Running
Jiffies 5192, PID 15, -> Ready (Preempted)
Jiffies 5192, PID 14, -> Running
Jiffies 5197, PID 14, -> Ready (Preempted)
Jiffies 5197, PID 13, -> Running
Jiffies 5202, PID 13, -> Ready (Preempted)
Jiffies 5202, PID 17, -> Running
Jiffies 5207, PID 17, -> Ready (Preempted)
Jiffies 5207, PID 16, -> Running
Jiffies 5212, PID 16, -> Ready (Preempted)
Jiffies 5212, PID 15, -> Running
Jiffies 5217, PID 15, -> Ready (Preempted)
Jiffies 5217, PID 14, -> Running
Jiffies 5222, PID 14, -> Ready (Preempted)
Jiffies 5222, PID 13, -> Running
Jiffies 5227, PID 13, -> Ready (Preempted)
Jiffies 5227, PID 17, -> Running
Jiffies 5232, PID 17, -> Ready (Preempted)
Jiffies 5232, PID 16, -> Running
Jiffies 5237, PID 16, -> Ready (Preempted)
Jiffies 5237, PID 15, -> Running
Jiffies 5242, PID 15, -> Ready (Preempted)
Jiffies 5242, PID 14, -> Running
Jiffies 5247, PID 14, -> Ready (Preempted)
Jiffies 5247, PID 13, -> Running
Jiffies 5252, PID 13, -> Ready (Preempted)
Jiffies 5252, PID 17, -> Running
Jiffies 5257, PID 17, -> Ready (Preempted)
Jiffies 5257, PID 16, -> Running
Jiffies 5262, PID 16, -> Ready (Preempted)
Jiffies 5262, PID 15, -> Running
Jiffies 5267, PID 15, -> Ready (Preempted)
Jiffies 5267, PID 14, -> Running
Jiffies 5272, PID 14, -> Ready (Preempted)
Jiffies 5272, PID 13, -> Running
Jiffies 5277, PID 13, -> Ready (Preempted)
Jiffies 5277, PID 17, -> Running
Jiffies 5282, PID 17, -> Ready (Preempted)
Jiffies 5282, PID 16, -> Running
Jiffies 5287, PID 16, -> Ready (Preempted)
Jiffies 5287, PID 15, -> Running
Jiffies 5292, PID 15, -> Ready (Preempted)
Jiffies 5292, PID 14, -> Running
Jiffies 5297, PID 14, -> Ready (Preempted)
Jiffies 5297, PID 13, -> Running
Jiffies 5302, PID 13, -> Ready (Preempted)
Jiffies 5302, PID 17, -> Running
Jiffies 5307, PID 17, -> Ready (Preempted)
Jiffies 5307, PID 16, -> Running
Jiffies 5312, PID 16, -> Ready (Preempted)
Jiffies 5312, PID 15, -> Running
Jiffies 5317, PID 15, -> Ready (Preempted)
Jiffies 5317, PID 14, -> Running
Jiffies 5322, PID 14, -> Ready (Preempted)
Jiffies 5322, PID 13, -> Running
Jiffies 5327, PID 13, -> Ready (Preempted)
Jiffies 5327, PID 17, -> Running
Jiffies 5332, PID 17, -> Ready (Preempted)
Jiffies 5332, PID 16, -> Running
Jiffies 5337, PID 16, -> Ready (Preempted)
Jiffies 5337, PID 15, -> Running
Jiffies 5342, PID 15, -> Ready (Preempted)
Jiffies 5342, PID 14, -> Running
Jiffies 5347, PID 14, -> Ready (Preempted)
Jiffies 5347, PID 13, -> Running
Jiffies 5352, PID 13, -> Ready (Preempted)
Jiffies 5352, PID 17, -> Running
Jiffies 5357, PID 17, -> Ready (Preempted)
Jiffies 5357, PID 16, -> Running
Jiffies 5362, PID 16, -> Ready (Preempted)
Jiffies 5362, PID 15, -> Running
Jiffies 5367, PID 15, -> Ready (Preempted)
Jiffies 5367, PID 14, -> Running
Jiffies 5372, PID 14, -> Ready (Preempted)
Jiffies 5372, PID 13, -> Running
Jiffies 5377, PID 13, -> Ready (Preempted)
Jiffies 5377, PID 17, -> Running
Jiffies 5382, PID 17, -> Ready (Preempted)
Jiffies 5382, PID 16, -> Running
Jiffies 5387, PID 16, -> Ready (Preempted)
Jiffies 5387, PID 15, -> Running
Jiffies 5392, PID 15, -> Ready (Preempted)
Jiffies 5392, PID 14, -> Running
Jiffies 5397, PID 14, -> Ready (Preempted)
Jiffies 5397, PID 13, -> Running
Jiffies 5402, PID 13, -> Ready (Preempted)
Jiffies 5402, PID 17, -> Running
Jiffies 5407, PID 17, -> Ready (Preempted)
Jiffies 5407, PID 16, -> Running
Jiffies 5412, PID 16, -> Ready (Preempted)
Jiffies 5412, PID 15, -> Running
Jiffies 5417, PID 15, -> Ready (Preempted)
Jiffies 5417, PID 14, -> Running
Jiffies 5422, PID 14, -> Ready (Preempted)
Jiffies 5422, PID 13, -> Running
Jiffies 5427, PID 13, -> Ready (Preempted)
Jiffies 5427, PID 17, -> Running
Jiffies 5432, PID 17, -> Ready (Preempted)
Jiffies 5432, PID 16, -> Running
Jiffies 5437, PID 16, -> Ready (Preempted)
Jiffies 5437, PID 15, -> Running
Jiffies 5442, PID 15, -> Ready (Preempted)
Jiffies 5442, PID 14, -> Running
Jiffies 5447, PID 14, -> Ready (Preempted)
Jiffies 5447, PID 13, -> Running
Jiffies 5452, PID 13, -> Ready (Preempted)
Jiffies 5452, PID 17, -> Running
Jiffies 5457, PID 17, -> Ready (Preempted)
Jiffies 5457, PID 16, -> Running
Jiffies 5462, PID 16, -> Ready (Preempted)
Jiffies 5462, PID 15, -> Running
Jiffies 5467, PID 15, -> Ready (Preempted)
Jiffies 5467, PID 14, -> Running
Jiffies 5472, PID 14, -> Ready (Preempted)
Jiffies 5472, PID 13, -> Running
Jiffies 5477, PID 13, -> Ready (Preempted)
Jiffies 5477, PID 17, -> Running
Jiffies 5482, PID 17, -> Ready (Preempted)
Jiffies 5482, PID 16, -> Running
Jiffies 5487, PID 16, -> Ready (Preempted)
Jiffies 5487, PID 15, -> Running
Jiffies 5492, PID 15, -> Ready (Preempted)
Jiffies 5492, PID 14, -> Running
Jiffies 5497, PID 14, -> Ready (Preempted)
Jiffies 5497, PID 13, -> Running
Jiffies 5502, PID 13, -> Ready (Preempted)
Jiffies 5502, PID 17, -> Running
